,,,,,
종로,"165,695","160,528","164,079","183,481",
중구,"183,394","158,119","172,213","153,967",
용산,"91,682","94,529","65,339","70,902",
성동,"113,105","92,167","86,771","64,482",
광진,"69,844","65,839","61,448","60,043",
동대문,"73,582","88,106","84,899","98,551",
중랑,"58,299","47,691","46,548","37,111",
성북,"50,329","49,560","59,805","50,663",
강북,"61,815","50,378","59,388","52,034",
도봉,"57,403","60,759","55,876","42,378",
노원,"81,793","82,001","80,343","61,993",
은평,"102,568","94,238","101,536","74,121",
서대문,"68,093","64,355","67,032","52,186",
마포,"155,812","153,066","153,511","115,731",
양천,"112,341","106,517","116,091","87,355",
강서,"105,974","148,538","175,000","170,141",
구로,"106,143","99,637","97,027","76,618",
금천,"56,800","55,896","59,891","53,328",
영등포,"159,341","166,145","163,508","136,373",
동작,"77,595","71,541","75,463","56,196",
관악,"106,327","108,822","108,397","84,144",
서초,"224,971","226,984","195,046","155,582",
강남,"410,681","296,820","289,884","176,273",
송파,"179,064","155,516","147,977","131,855",
강동,"105,987","93,692","79,254","70,150",
,,,,,
,,,,,