기간,행정자치구,자가용승용차,주택가주차장,,,,주택가주차장확보율
,,,계,노상,노외,건축물부설,
2015,서울시,"2,437,900","2,445,310","132,234","51,527","2,261,549",100.3
,종로구,"37,256","31,461","2,199","1,084","28,178",84.4
,중구,"39,106","31,918","1,436","2,072","28,410",81.6
,용산구,"64,104","72,296","4,174","2,148","65,974",112.8
,성동구,"74,727","75,903","6,636","2,458","66,809",101.6
,광진구,"76,681","74,324","3,934","1,691","68,699",96.9
,동대문구,"74,503","88,595","4,598","1,974","82,023",118.9
,중랑구,"82,142","85,761","7,655","1,802","76,304",104.4
,성북구,"95,678","112,222","6,556","1,446","104,220",117.3
,강북구,"58,573","66,080","3,541","1,758","60,781",112.8
,도봉구,"74,536","83,032","4,049","1,180","77,803",111.4
,노원구,"126,393","127,085","2,247",990,"123,848",100.5
,은평구,"101,630","119,697","4,296","1,555","113,846",117.8
,서대문구,"66,440","39,910","4,864","1,564","33,482",60.1
,마포구,"93,932","94,310","4,820","1,525","87,965",100.4
,양천구,"120,734","110,524","3,215","3,898","103,411",91.5
,강서구,"150,143","157,150","4,968","2,282","149,900",104.7
,구로구,"105,652","96,055","3,466","1,879","90,710",90.9
,금천구,"59,483","47,905","3,210","1,416","43,279",80.5
,영등포구,"112,172","86,359","6,525","2,690","77,144",77
,동작구,"87,129","93,775","2,999",558,"90,218",107.6
,관악구,"98,206","102,761","6,250","1,645","94,866",104.6
,서초구,"149,925","161,181","6,028","2,640","152,513",107.5
,강남구,"198,610","180,621","9,899","4,506","166,216",90.9
,송파구,"180,550","185,080","15,602","5,112","164,366",102.5
,강동구,"109,595","121,305","9,067","1,654","110,584",110.7
2016,서울시,"2,475,126","2,512,421","131,924","53,555","2,326,942",101.5
,종로구,"37,195","27,947","2,316","1,045","24,586",75.1
,중구,"38,461","31,782","1,476","3,169","27,137",82.6
,용산구,"64,133","65,875","4,016","2,274","59,585",102.7
,성동구,"77,361","80,690","6,794","2,381","71,515",104.3
,광진구,"77,610","77,087","3,666","1,735","71,686",99.3
,동대문구,"75,836","72,978","4,499","1,896","66,583",96.2
,중랑구,"84,132","88,568","7,486","2,448","78,634",105.3
,성북구,"96,100","111,145","6,326","1,690","103,129",115.7
,강북구,"59,915","65,636","3,507","1,758","60,371",109.5
,도봉구,"76,043","85,449","3,947","1,225","80,277",112.4
,노원구,"128,286","132,262","2,229",969,"129,064",103.1
,은평구,"103,364","126,247","4,221","1,652","120,374",122.1
,서대문구,"68,480","72,008","5,742","1,567","64,699",105.2
,마포구,"94,657","97,889","4,648","1,442","91,799",103.4
,양천구,"122,159","118,787","3,195","3,540","112,052",97.2
,강서구,"155,127","158,032","4,883","2,311","150,838",101.9
,구로구,"107,793","94,693","3,565","1,516","89,612",87.8
,금천구,"61,964","50,310","3,112","1,416","45,782",81.2
,영등포구,"113,984","90,238","6,394","3,119","80,725",79.2
,동작구,"89,342","91,133","2,962","1,008","87,163",102
,관악구,"99,750","105,340","6,006","1,658","97,676",105.6
,서초구,"151,705","158,982","5,775","2,419","150,788",104.8
,강남구,"198,068","184,280","9,806","4,570","169,904",93
,송파구,"184,685","201,678","16,458","5,162","180,058",109.2
,강동구,"108,976","123,385","8,895","1,585","112,905",113.2
2017,서울시,"2,513,827","2,560,988","126,220","55,972","2,378,796",101.9
,종로구,"38,819","32,112","2,327","1,057","28,728",82.7
,중구,"38,540","30,353","1,280","1,914","27,159",78.8
,용산구,"66,023","71,685","3,782","1,892","66,011",108.6
,성동구,"81,053","80,954","6,081","2,427","72,446",99.9
,광진구,"79,669","83,296","3,631","2,490","77,175",104.6
,동대문구,"76,639","72,462","4,369","2,114","65,979",94.5
,중랑구,"86,304","90,459","8,285","3,383","78,791",104.8
2017,성북구,"97,297","113,683","6,036","1,778","105,869",116.8
,강북구,"61,177","68,298","3,261","2,246","62,791",111.6
,도봉구,"76,755","86,389","3,636","1,363","81,390",112.6
,노원구,"128,149","132,289","2,232","1,003","129,054",103.2
,은평구,"105,154","127,465","4,266","1,731","121,468",121.2
,서대문구,"70,190","70,918","4,471","1,861","64,586",101
,마포구,"95,361","98,349","4,708","1,716","91,925",103.1
,양천구,"123,642","119,284","3,176","3,990","112,118",96.5
,강서구,"160,738","161,918","4,794","2,345","154,779",100.7
,구로구,"109,056","107,889","3,303","1,479","103,107",98.9
,금천구,"64,491","53,302","2,847","1,412","49,043",82.7
,영등포구,"113,958","91,880","6,134","2,715","83,031",80.6
,동작구,"90,244","91,082","2,862",997,"87,223",100.9
,관악구,"100,529","106,298","5,813","1,658","98,827",105.7
,서초구,"151,930","155,981","5,923","2,482","147,576",102.7
,강남구,"197,223","187,872","9,472","4,785","173,615",95.3
,송파구,"191,009","199,959","14,750","5,350","179,859",104.7
,강동구,"109,877","126,811","8,781","1,784","116,246",115.4
2018,서울시,"2,526,699","2,592,908","119,591","56,640","2,416,677",102.6
,종로구,"38,959","32,782","1,994","1,067","29,721",84.1
,중구,"38,205","33,102","1,228","1,923","29,951",86.6
,용산구,"66,464","72,580","3,628","2,006","66,946",109.2
,성동구,"83,654","78,863","5,012","2,498","71,353",94.3
,광진구,"80,190","83,274","3,408","2,553","77,313",103.8
,동대문구,"78,039","88,142","4,337","2,121","81,684",112.9
,중랑구,"86,924","92,506","7,401","4,240","80,865",106.4
,성북구,"97,220","113,656","5,669","1,553","106,434",116.9
,강북구,"61,092","69,432","3,141","2,254","64,037",113.7
,도봉구,"76,874","86,782","3,535","1,369","81,878",112.9
,노원구,"127,709","132,608","2,169","1,296","129,143",103.8
,은평구,"106,223","125,963","3,886","1,652","120,425",118.6
,서대문구,"71,059","70,893","4,257","1,731","64,905",99.8
,마포구,"96,997","103,611","4,657","1,716","97,238",106.8
,양천구,"124,190","119,125","2,946","3,971","112,208",95.9
,강서구,"162,062","160,992","4,792","2,316","153,884",99.3
,구로구,"108,837","109,129","3,387","1,469","104,273",100.3
,금천구,"65,901","51,653","2,590","1,412","47,651",78.4
,영등포구,"113,029","91,456","5,560","2,692","83,204",80.9
,동작구,"91,371","97,615","2,723",985,"93,907",106.8
,관악구,"100,408","108,837","5,551","1,663","101,623",108.4
,서초구,"152,133","157,603","5,896","2,388","149,319",103.6
,강남구,"195,292","187,462","9,190","4,606","173,666",96
,송파구,"194,619","202,639","14,094","5,371","183,174",104.1
,강동구,"109,248","122,203","8,540","1,788","111,875",111.9
2019,서울시,"2,538,890","2,614,621","113,673","56,280","2,444,668",103
,종로구,"38,643","35,538","1,845","1,287","32,406",92
,중구,"38,341","33,592","1,106","1,920","30,566",87.6
,용산구,"65,989","72,784","3,588","2,074","67,122",110.3
,성동구,"82,514","76,731","5,603","2,514","68,614",93
,광진구,"79,610","84,999","3,293","2,308","79,398",106.8
,동대문구,"78,232","89,533","4,126","1,613","83,794",114.4
,중랑구,"86,464","99,420","6,804","3,270","89,346",115
,성북구,"100,483","116,382","5,537","1,699","109,146",115.8
,강북구,"60,759","71,302","2,997","2,090","66,215",117.4
,도봉구,"76,593","84,602","3,350","1,428","79,824",110.5
,노원구,"126,840","130,004","2,175","1,297","126,532",102.5
,은평구,"107,152","119,826","3,656","1,652","114,518",111.8
,서대문구,"71,452","79,321","4,219","1,682","73,420",111
,마포구,"97,366","110,206","4,475","2,139","103,592",113.2
,양천구,"123,962","117,618","2,908","4,115","110,595",94.9
,강서구,"162,313","163,019","4,714","2,345","155,960",100.4
,구로구,"110,153","109,641","2,912","1,773","104,956",99.5
2019,금천구,"66,815","51,113","2,388","1,441","47,284",76.5
,영등포구,"111,536","96,576","5,617","2,792","88,167",86.6
,동작구,"92,000","105,863","2,639",939,"102,285",115.1
,관악구,"99,661","109,711","5,486","1,875","102,350",110.1
,서초구,"151,834","144,439","4,848","2,314","137,277",95.1
,강남구,"197,246","184,796","7,811","5,001","171,984",93.7
,송파구,"199,517","204,453","13,413","4,927","186,113",102.5
,강동구,"113,415","123,152","8,163","1,785","113,204",108.6
2020,서울시,"2,581,992","2,676,047","110,267","55,943","2,509,837",103.6
,종로구,"38,953","35,562","1,793","1,354","32,415",91.3
,중구,"38,552","34,415",896,"2,140","31,379",89.3
,용산구,"68,904","74,463","3,691","2,181","68,591",108.1
,성동구,"82,602","89,340","4,709","2,281","82,350",108.2
,광진구,"79,661","93,100","3,175","2,176","87,749",116.9
,동대문구,"79,184","91,694","3,870","1,765","86,059",115.8
,중랑구,"88,177","99,277","6,374","3,514","89,389",112.6
,성북구,"101,842","116,112","5,285","1,783","109,044",114
,강북구,"60,792","72,102","2,966","2,088","67,048",118.6
,도봉구,"76,473","87,265","3,200","1,723","82,342",114.1
,노원구,"128,202","136,749","2,165","1,100","133,484",106.7
,은평구,"110,148","129,605","3,135","1,690","124,780",117.7
,서대문구,"74,360","73,100","4,083","1,244","67,773",98.3
,마포구,"99,114","104,626","4,244","1,923","98,459",105.6
,양천구,"126,383","126,124","3,172","4,292","118,660",99.8
,강서구,"163,102","172,061","4,603","3,107","164,351",105.5
,구로구,"112,412","114,563","2,799","1,468","110,296",101.9
,금천구,"68,114","51,691","2,295","1,389","48,007",75.9
,영등포구,"116,304","96,576","5,617","2,792","88,167",83
,동작구,"92,416","107,134","2,552",921,"103,661",115.9
,관악구,"99,684","110,902","5,579","1,523","103,800",111.3
,서초구,"152,795","144,473","4,761","2,401","137,311",94.6
,강남구,"198,555","185,757","8,881","4,472","172,404",93.6
,송파구,"201,270","196,423","12,657","5,151","178,615",97.6
,강동구,"123,993","132,933","7,765","1,465","123,703",107.2
